timestamp,percentage,status
2025-08-13 00:22:29,48,DISCHARGING
2025-08-13 00:43:57,47,DISCHARGING
2025-08-13 01:12:10,46,DISCHARGING
2025-08-13 01:16:11,45,DISCHARGING
2025-08-13 01:21:34,44,DISCHARGING
2025-08-13 01:26:46,43,DISCHARGING
2025-08-13 01:31:59,42,DISCHARGING
2025-08-13 01:37:11,41,DISCHARGING
2025-08-13 01:42:23,40,DISCHARGING
2025-08-13 01:46:35,39,DISCHARGING
2025-08-13 02:20:22,38,DISCHARGING
2025-08-13 03:45:47,37,DISCHARGING
2025-08-13 04:03:00,36,DISCHARGING
2025-08-13 04:07:02,35,DISCHARGING
2025-08-13 04:17:05,34,DISCHARGING
2025-08-13 04:23:07,33,DISCHARGING
2025-08-13 04:28:30,32,DISCHARGING
2025-08-13 04:33:32,31,DISCHARGING
2025-08-13 04:39:54,30,DISCHARGING
2025-08-13 04:52:33,29,DISCHARGING
2025-08-13 04:58:46,28,DISCHARGING
2025-08-13 05:10:53,27,DISCHARGING
2025-08-13 05:21:49,26,DISCHARGING
2025-08-13 05:36:26,25,DISCHARGING
2025-08-13 05:59:49,24,DISCHARGING
2025-08-13 06:21:08,23,DISCHARGING
2025-08-13 06:23:48,20,DISCHARGING
2025-08-13 06:24:49,19,DISCHARGING
2025-08-13 06:46:42,18,DISCHARGING
2025-08-13 07:15:10,17,DISCHARGING
2025-08-13 07:21:53,16,DISCHARGING
2025-08-13 07:22:53,15,DISCHARGING
2025-08-13 07:25:34,14,DISCHARGING
2025-08-13 07:30:27,13,DISCHARGING
2025-08-13 07:44:40,13,CHARGING
2025-08-13 07:45:20,14,CHARGING
2025-08-13 07:46:11,15,CHARGING
2025-08-13 07:47:21,16,CHARGING
2025-08-13 07:48:12,17,CHARGING
2025-08-13 07:49:12,18,CHARGING
2025-08-13 07:50:13,19,CHARGING
2025-08-13 07:51:23,20,CHARGING
2025-08-13 07:52:24,21,CHARGING
2025-08-13 07:53:24,22,CHARGING
2025-08-13 07:54:25,23,CHARGING
2025-08-13 07:55:15,24,CHARGING
2025-08-13 07:56:16,25,CHARGING
2025-08-13 07:57:06,26,CHARGING
2025-08-13 07:58:07,27,CHARGING
2025-08-13 07:59:07,28,CHARGING
2025-08-13 07:59:47,29,CHARGING
2025-08-13 08:00:29,30,CHARGING
2025-08-13 08:01:20,31,CHARGING
2025-08-13 08:02:10,32,CHARGING
2025-08-13 08:02:40,33,CHARGING
2025-08-13 08:03:31,34,CHARGING
2025-08-13 08:04:11,35,CHARGING
2025-08-13 08:05:01,36,CHARGING
2025-08-13 08:05:42,37,CHARGING
2025-08-13 08:06:22,38,CHARGING
2025-08-13 08:07:13,39,CHARGING
2025-08-13 08:07:53,40,CHARGING
2025-08-13 08:08:43,41,CHARGING
2025-08-13 08:09:34,42,CHARGING
2025-08-13 08:10:34,43,CHARGING
2025-08-13 08:11:25,44,CHARGING
2025-08-13 08:12:15,45,CHARGING
2025-08-13 08:13:06,46,CHARGING
2025-08-13 08:13:56,47,CHARGING
2025-08-13 08:14:47,48,CHARGING
2025-08-13 08:15:37,49,CHARGING
2025-08-13 08:16:27,50,CHARGING
2025-08-13 08:17:08,51,CHARGING
2025-08-13 08:17:58,52,CHARGING
2025-08-13 08:18:39,53,CHARGING
2025-08-13 08:19:39,54,CHARGING
2025-08-13 08:20:30,55,CHARGING
2025-08-13 08:21:23,56,CHARGING
2025-08-13 08:22:13,57,CHARGING
2025-08-13 08:23:04,58,CHARGING
2025-08-13 08:24:05,59,CHARGING
2025-08-13 08:24:55,60,CHARGING
2025-08-13 08:26:06,61,CHARGING
2025-08-13 08:27:16,62,CHARGING
2025-08-13 08:27:58,63,CHARGING
2025-08-13 08:29:08,64,CHARGING
2025-08-13 08:30:09,65,CHARGING
2025-08-13 08:30:59,66,CHARGING
2025-08-13 08:32:00,67,CHARGING
2025-08-13 08:33:00,68,CHARGING
2025-08-13 08:34:01,69,CHARGING
2025-08-13 08:35:22,70,CHARGING
2025-08-13 08:36:22,71,CHARGING
2025-08-13 08:37:24,72,CHARGING
2025-08-13 08:38:35,73,CHARGING
2025-08-13 08:39:55,74,CHARGING
2025-08-13 08:40:56,75,CHARGING
2025-08-13 08:42:06,76,CHARGING
2025-08-13 08:43:27,77,CHARGING
2025-08-13 08:44:48,78,CHARGING
2025-08-13 08:46:08,79,CHARGING
