timestamp,percentage,status
2025-08-12 00:01:33,77,DISCHARGING
2025-08-12 00:09:47,76,DISCHARGING
2025-08-12 00:17:11,75,DISCHARGING
2025-08-12 00:25:34,74,DISCHARGING
2025-08-12 02:54:38,73,DISCHARGING
2025-08-12 04:12:09,72,DISCHARGING
2025-08-12 05:17:52,71,DISCHARGING
2025-08-12 05:35:32,70,DISCHARGING
2025-08-12 05:58:30,69,DISCHARGING
2025-08-12 06:22:18,68,DISCHARGING
2025-08-12 06:47:21,67,DISCHARGING
2025-08-12 07:20:00,66,DISCHARGING
2025-08-12 07:29:36,65,DISCHARGING
2025-08-12 07:39:39,64,DISCHARGING
2025-08-12 07:44:51,63,DISCHARGING
2025-08-12 08:00:32,62,DISCHARGING
2025-08-12 08:15:01,60,DISCHARGING
2025-08-12 09:10:14,59,DISCHARGING
2025-08-12 09:14:16,58,DISCHARGING
2025-08-12 09:18:27,57,DISCHARGING
2025-08-12 09:23:42,56,DISCHARGING
2025-08-12 09:28:46,55,DISCHARGING
2025-08-12 09:32:58,54,DISCHARGING
2025-08-12 09:46:06,53,DISCHARGING
2025-08-12 09:54:16,52,DISCHARGING
2025-08-12 10:06:18,51,DISCHARGING
2025-08-12 10:09:30,50,DISCHARGING
2025-08-12 10:26:08,49,DISCHARGING
2025-08-12 10:39:42,48,DISCHARGING
2025-08-12 10:42:43,47,DISCHARGING
2025-08-12 10:45:44,46,DISCHARGING
2025-08-12 10:49:05,45,DISCHARGING
2025-08-12 10:54:03,44,DISCHARGING
2025-08-12 10:58:15,43,DISCHARGING
2025-08-12 11:04:26,42,DISCHARGING
2025-08-12 11:21:58,41,DISCHARGING
2025-08-12 11:33:48,40,DISCHARGING
2025-08-12 11:35:59,39,DISCHARGING
2025-08-12 11:41:11,38,DISCHARGING
2025-08-12 11:47:23,37,DISCHARGING
2025-08-12 12:04:05,36,DISCHARGING
2025-08-12 12:45:46,35,DISCHARGING
2025-08-12 12:50:58,34,DISCHARGING
2025-08-12 13:02:25,33,DISCHARGING
2025-08-12 13:11:50,32,DISCHARGING
2025-08-12 13:16:02,31,DISCHARGING
2025-08-12 13:22:15,30,DISCHARGING
2025-08-12 13:27:37,29,DISCHARGING
2025-08-12 13:31:49,28,DISCHARGING
2025-08-12 13:37:01,27,DISCHARGING
2025-08-12 13:42:13,26,DISCHARGING
2025-08-12 13:47:25,25,DISCHARGING
2025-08-12 13:51:36,24,DISCHARGING
2025-08-12 13:55:38,23,DISCHARGING
2025-08-12 14:01:00,22,DISCHARGING
2025-08-12 14:05:01,21,DISCHARGING
2025-08-12 14:07:12,20,DISCHARGING
2025-08-12 14:11:25,19,DISCHARGING
2025-08-12 14:15:28,18,DISCHARGING
2025-08-12 14:23:21,17,DISCHARGING
2025-08-12 14:39:44,16,DISCHARGING
2025-08-12 14:49:39,15,DISCHARGING
2025-08-12 14:51:50,14,DISCHARGING
2025-08-12 14:54:51,13,DISCHARGING
2025-08-12 14:57:52,12,DISCHARGING
2025-08-12 15:02:11,11,DISCHARGING
2025-08-12 15:05:24,10,DISCHARGING
2025-08-12 15:09:26,9,DISCHARGING
2025-08-12 15:30:41,9,CHARGING
2025-08-12 15:32:01,10,CHARGING
2025-08-12 15:32:52,11,CHARGING
2025-08-12 15:33:42,12,CHARGING
2025-08-12 15:34:33,13,CHARGING
2025-08-12 15:35:23,14,CHARGING
2025-08-12 15:36:13,15,CHARGING
2025-08-12 15:37:04,16,CHARGING
2025-08-12 15:37:54,17,CHARGING
2025-08-12 15:38:35,18,CHARGING
2025-08-12 15:39:25,19,CHARGING
2025-08-12 15:40:15,20,CHARGING
2025-08-12 15:41:06,21,CHARGING
2025-08-12 15:41:56,22,CHARGING
2025-08-12 15:42:57,23,CHARGING
2025-08-12 15:43:47,24,CHARGING
2025-08-12 15:44:37,25,CHARGING
2025-08-12 15:45:28,26,CHARGING
2025-08-12 15:46:18,27,CHARGING
2025-08-12 15:47:11,28,CHARGING
2025-08-12 15:48:16,29,CHARGING
2025-08-12 15:49:06,30,CHARGING
2025-08-12 15:50:37,31,CHARGING
2025-08-12 15:51:38,32,CHARGING
2025-08-12 15:52:48,33,CHARGING
2025-08-12 15:53:49,34,CHARGING
2025-08-12 15:54:39,35,CHARGING
2025-08-12 15:55:40,36,CHARGING
2025-08-12 15:56:40,37,CHARGING
2025-08-12 15:57:51,38,CHARGING
2025-08-12 15:59:01,39,CHARGING
2025-08-12 16:00:32,40,CHARGING
2025-08-12 16:01:52,41,CHARGING
2025-08-12 16:03:03,42,CHARGING
2025-08-12 16:04:23,43,CHARGING
2025-08-12 16:05:44,44,CHARGING
2025-08-12 16:06:54,45,CHARGING
2025-08-12 16:08:05,46,CHARGING
2025-08-12 16:09:25,47,CHARGING
2025-08-12 16:10:36,48,CHARGING
2025-08-12 16:12:07,49,CHARGING
2025-08-12 16:13:17,50,CHARGING
2025-08-12 16:15:08,51,CHARGING
2025-08-12 16:16:48,52,CHARGING
2025-08-12 16:18:29,53,CHARGING
2025-08-12 16:19:40,54,CHARGING
2025-08-12 16:21:30,55,CHARGING
2025-08-12 16:22:51,56,CHARGING
2025-08-12 16:24:12,57,CHARGING
2025-08-12 16:25:12,58,CHARGING
2025-08-12 16:26:23,59,CHARGING
2025-08-12 16:26:51,59,DISCHARGING
2025-08-12 16:38:15,58,DISCHARGING
2025-08-12 16:47:39,57,DISCHARGING
2025-08-12 16:52:51,56,DISCHARGING
2025-08-12 16:59:03,55,DISCHARGING
2025-08-12 17:04:15,54,DISCHARGING
2025-08-12 17:08:27,53,DISCHARGING
2025-08-12 17:12:38,52,DISCHARGING
2025-08-12 17:16:50,51,DISCHARGING
2025-08-12 17:21:35,51,CHARGING
2025-08-12 17:22:46,52,CHARGING
2025-08-12 17:23:46,53,CHARGING
2025-08-12 17:24:47,54,CHARGING
2025-08-12 17:25:37,55,CHARGING
2025-08-12 17:26:38,56,CHARGING
2025-08-12 17:27:38,57,CHARGING
2025-08-12 17:28:49,58,CHARGING
2025-08-12 17:29:39,59,CHARGING
2025-08-12 17:30:40,60,CHARGING
2025-08-12 17:31:50,61,CHARGING
2025-08-12 17:32:51,62,CHARGING
2025-08-12 17:33:41,63,CHARGING
2025-08-12 17:34:42,64,CHARGING
2025-08-12 17:35:42,65,CHARGING
2025-08-12 17:36:43,66,CHARGING
2025-08-12 17:37:53,67,CHARGING
2025-08-12 17:38:54,68,CHARGING
2025-08-12 17:40:04,69,CHARGING
2025-08-12 17:41:05,70,CHARGING
2025-08-12 17:42:16,71,CHARGING
2025-08-12 17:43:36,72,CHARGING
2025-08-12 17:44:47,73,CHARGING
2025-08-12 17:46:08,74,CHARGING
2025-08-12 17:48:09,75,CHARGING
2025-08-12 17:49:39,76,CHARGING
2025-08-12 17:52:00,77,CHARGING
2025-08-12 17:53:41,78,CHARGING
2025-08-12 17:56:02,79,CHARGING
2025-08-12 17:58:23,80,CHARGING
2025-08-12 17:59:54,81,CHARGING
2025-08-12 18:02:27,82,CHARGING
2025-08-12 18:05:28,83,CHARGING
2025-08-12 18:08:30,84,CHARGING
2025-08-12 18:11:31,85,CHARGING
2025-08-12 18:14:52,86,CHARGING
2025-08-12 18:18:24,87,CHARGING
2025-08-12 18:21:56,88,CHARGING
2025-08-12 18:25:58,89,CHARGING
2025-08-12 18:29:40,90,CHARGING
2025-08-12 18:32:22,91,CHARGING
2025-08-12 18:35:43,92,CHARGING
2025-08-12 18:40:06,93,CHARGING
2025-08-12 18:45:19,94,CHARGING
2025-08-12 18:49:31,95,CHARGING
2025-08-12 18:55:14,96,CHARGING
2025-08-12 18:58:46,97,CHARGING
2025-08-12 19:02:47,98,CHARGING
2025-08-12 19:08:20,99,CHARGING
2025-08-12 19:11:52,100,CHARGING
2025-08-12 19:24:29,100,DISCHARGING
2025-08-12 19:35:07,99,DISCHARGING
2025-08-12 19:45:51,98,DISCHARGING
2025-08-12 19:49:32,97,DISCHARGING
2025-08-12 19:54:11,96,DISCHARGING
2025-08-12 19:58:23,95,DISCHARGING
2025-08-12 20:02:34,94,DISCHARGING
2025-08-12 20:08:54,93,DISCHARGING
2025-08-12 20:41:04,92,DISCHARGING
2025-08-12 21:17:36,91,DISCHARGING
2025-08-12 21:20:47,90,DISCHARGING
2025-08-12 21:23:58,89,DISCHARGING
2025-08-12 21:26:59,88,DISCHARGING
2025-08-12 21:30:10,87,DISCHARGING
2025-08-12 21:32:21,86,DISCHARGING
2025-08-12 21:35:22,85,DISCHARGING
2025-08-12 21:38:33,84,DISCHARGING
2025-08-12 21:41:44,83,DISCHARGING
2025-08-12 21:44:45,82,DISCHARGING
2025-08-12 21:47:56,81,DISCHARGING
2025-08-12 21:49:57,80,DISCHARGING
2025-08-12 21:53:09,79,DISCHARGING
2025-08-12 21:55:19,78,DISCHARGING
2025-08-12 21:58:20,77,DISCHARGING
2025-08-12 22:01:31,76,DISCHARGING
2025-08-12 22:04:43,75,DISCHARGING
2025-08-12 22:07:44,74,DISCHARGING
2025-08-12 22:10:55,73,DISCHARGING
2025-08-12 22:14:06,72,DISCHARGING
2025-08-12 22:17:07,71,DISCHARGING
2025-08-12 22:20:18,70,DISCHARGING
2025-08-12 22:23:29,69,DISCHARGING
2025-08-12 22:25:30,68,DISCHARGING
2025-08-12 22:28:31,67,DISCHARGING
2025-08-12 22:31:52,66,DISCHARGING
2025-08-12 22:34:53,65,DISCHARGING
2025-08-12 22:37:54,64,DISCHARGING
2025-08-12 22:41:16,63,DISCHARGING
2025-08-12 22:44:17,62,DISCHARGING
2025-08-12 22:47:18,61,DISCHARGING
2025-08-12 22:49:28,60,DISCHARGING
2025-08-12 22:52:40,59,DISCHARGING
2025-08-12 22:55:41,58,DISCHARGING
2025-08-12 22:58:52,57,DISCHARGING
2025-08-12 23:02:03,56,DISCHARGING
2025-08-12 23:05:04,55,DISCHARGING
2025-08-12 23:08:15,54,DISCHARGING
2025-08-12 23:10:26,53,DISCHARGING
2025-08-12 23:13:27,52,DISCHARGING
2025-08-12 23:16:28,51,DISCHARGING
2025-08-12 23:18:49,50,DISCHARGING
2025-08-12 23:22:51,49,DISCHARGING
