timestamp,percentage,status
2025-08-09 21:24:47,31,DISCHARGING
2025-08-09 21:34:58,30,DISCHARGING
2025-08-09 21:40:11,29,DISCHARGING
2025-08-09 21:45:23,28,DISCHARGING
2025-08-09 21:51:46,27,DISCHARGING
2025-08-09 22:00:10,26,DISCHARGING
2025-08-09 22:08:24,25,DISCHARGING
2025-08-09 22:16:38,24,DISCHARGING
2025-08-09 22:27:13,23,DISCHARGING
2025-08-09 22:36:38,22,DISCHARGING
2025-08-09 22:48:04,21,DISCHARGING
2025-08-09 22:59:29,20,DISCHARGING
2025-08-09 23:04:41,19,DISCHARGING
2025-08-09 23:08:53,18,DISCHARGING
2025-08-09 23:20:00,17,DISCHARGING
2025-08-09 23:47:41,16,DISCHARGING
