timestamp,percentage,status
2025-08-14 00:01:45,94,CHARGING
2025-08-14 00:05:16,95,CHARGING
2025-08-14 00:08:48,96,CHARGING
2025-08-14 00:13:00,97,CHARGING
2025-08-14 00:16:41,97,DISCHARGING
2025-08-14 00:17:01,96,DISCHARGING
2025-08-14 00:29:37,95,DISCHARGING
2025-08-14 00:38:00,94,DISCHARGING
2025-08-14 00:46:13,93,DISCHARGING
2025-08-14 00:55:38,92,DISCHARGING
2025-08-14 01:03:52,91,DISCHARGING
2025-08-14 01:12:16,90,DISCHARGING
2025-08-14 01:21:40,89,DISCHARGING
2025-08-14 01:30:04,88,DISCHARGING
2025-08-14 01:38:27,87,DISCHARGING
2025-08-14 01:46:51,86,DISCHARGING
2025-08-14 01:55:04,85,DISCHARGING
2025-08-14 02:03:28,84,DISCHARGING
2025-08-14 02:12:52,83,DISCHARGING
2025-08-14 02:23:17,82,DISCHARGING
2025-08-14 02:31:41,81,DISCHARGING
2025-08-14 02:42:05,80,DISCHARGING
2025-08-14 02:51:29,79,DISCHARGING
2025-08-14 03:01:54,78,DISCHARGING
2025-08-14 03:11:18,77,DISCHARGING
2025-08-14 03:21:43,76,DISCHARGING
2025-08-14 03:25:54,75,DISCHARGING
2025-08-14 03:32:17,74,DISCHARGING
2025-08-14 03:40:31,73,DISCHARGING
2025-08-14 03:49:45,72,DISCHARGING
2025-08-14 03:59:09,71,DISCHARGING
2025-08-14 04:08:43,70,DISCHARGING
2025-08-14 04:18:08,69,DISCHARGING
2025-08-14 04:27:32,68,DISCHARGING
2025-08-14 04:36:56,67,DISCHARGING
2025-08-14 04:46:21,66,DISCHARGING
2025-08-14 04:54:44,65,DISCHARGING
2025-08-14 05:02:48,64,DISCHARGING
2025-08-14 05:12:12,63,DISCHARGING
2025-08-14 05:20:36,62,DISCHARGING
2025-08-14 05:29:00,61,DISCHARGING
2025-08-14 05:37:24,60,DISCHARGING
2025-08-14 05:46:48,59,DISCHARGING
2025-08-14 05:56:12,58,DISCHARGING
2025-08-14 06:05:26,57,DISCHARGING
2025-08-14 06:42:56,56,DISCHARGING
2025-08-14 07:01:47,55,DISCHARGING
2025-08-14 07:09:11,54,DISCHARGING
2025-08-14 07:18:28,54,CHARGING
2025-08-14 07:19:09,55,CHARGING
2025-08-14 07:20:09,56,CHARGING
2025-08-14 07:21:00,57,CHARGING
2025-08-14 07:22:00,58,CHARGING
2025-08-14 07:22:51,59,CHARGING
2025-08-14 07:23:42,60,CHARGING
2025-08-14 07:24:43,61,CHARGING
2025-08-14 07:25:43,62,CHARGING
2025-08-14 07:26:43,63,CHARGING
2025-08-14 07:27:44,64,CHARGING
2025-08-14 07:28:44,65,CHARGING
2025-08-14 07:29:55,66,CHARGING
2025-08-14 07:31:05,67,CHARGING
2025-08-14 07:32:15,68,CHARGING
2025-08-14 07:32:36,68,DISCHARGING
2025-08-14 09:51:14,40,DISCHARGING
2025-08-14 09:51:55,39,DISCHARGING
2025-08-14 09:54:56,38,DISCHARGING
2025-08-14 09:57:06,37,DISCHARGING
2025-08-14 10:00:18,36,DISCHARGING
2025-08-14 10:10:24,35,DISCHARGING
