timestamp,percentage,status
2025-08-07 00:04:49,53,DISCHARGING
2025-08-07 00:12:13,52,DISCHARGING
2025-08-07 00:19:26,51,DISCHARGING
2025-08-07 00:29:50,50,DISCHARGING
2025-08-07 00:41:25,49,DISCHARGING
2025-08-07 00:48:38,48,DISCHARGING
2025-08-07 00:57:02,47,DISCHARGING
2025-08-07 01:05:25,46,DISCHARGING
2025-08-07 01:13:49,45,DISCHARGING
2025-08-07 01:22:12,44,DISCHARGING
2025-08-07 01:27:15,43,DISCHARGING
2025-08-07 04:21:55,42,DISCHARGING
2025-08-07 04:30:08,41,DISCHARGING
2025-08-07 04:37:32,40,DISCHARGING
2025-08-07 04:50:15,37,DISCHARGING
2025-08-07 05:53:11,36,DISCHARGING
2025-08-07 05:55:12,35,DISCHARGING
2025-08-07 05:56:12,34,DISCHARGING
2025-08-07 05:58:13,33,DISCHARGING
2025-08-07 06:02:35,32,DISCHARGING
2025-08-07 06:06:37,31,DISCHARGING
2025-08-07 06:08:37,30,DISCHARGING
2025-08-07 06:11:59,29,DISCHARGING
2025-08-07 06:16:00,28,DISCHARGING
2025-08-07 06:18:01,27,DISCHARGING
2025-08-07 06:21:23,26,DISCHARGING
2025-08-07 06:24:24,25,DISCHARGING
2025-08-07 06:37:23,24,DISCHARGING
2025-08-07 06:54:05,23,DISCHARGING
2025-08-07 06:58:40,22,DISCHARGING
2025-08-07 07:01:41,21,DISCHARGING
2025-08-07 07:05:02,20,DISCHARGING
2025-08-07 07:09:04,19,DISCHARGING
2025-08-07 07:20:03,15,DISCHARGING
2025-08-07 07:27:29,14,DISCHARGING
2025-08-07 07:37:31,13,DISCHARGING
2025-08-07 07:39:50,12,DISCHARGING
2025-08-07 07:40:50,11,DISCHARGING
2025-08-07 07:41:51,10,DISCHARGING
2025-08-07 07:44:42,9,DISCHARGING
2025-08-07 07:46:43,8,DISCHARGING
2025-08-07 07:50:56,8,CHARGING
2025-08-07 07:51:16,9,CHARGING
2025-08-07 07:51:36,10,CHARGING
2025-08-07 07:52:17,11,CHARGING
2025-08-07 07:53:07,12,CHARGING
2025-08-07 07:53:47,13,CHARGING
2025-08-07 07:54:48,14,CHARGING
2025-08-07 07:55:18,15,CHARGING
2025-08-07 07:56:08,16,CHARGING
2025-08-07 07:56:59,17,CHARGING
2025-08-07 07:57:39,18,CHARGING
2025-08-07 07:58:30,19,CHARGING
2025-08-07 07:59:20,20,CHARGING
2025-08-07 08:00:10,21,CHARGING
2025-08-07 08:00:41,22,CHARGING
2025-08-07 08:01:31,23,CHARGING
2025-08-07 08:02:21,24,CHARGING
2025-08-07 08:03:02,25,CHARGING
2025-08-07 08:03:42,26,CHARGING
2025-08-07 08:04:33,27,CHARGING
2025-08-07 08:05:03,28,CHARGING
2025-08-07 08:06:04,29,DISCHARGING
2025-08-07 08:06:14,29,CHARGING
2025-08-07 08:07:24,30,CHARGING
2025-08-07 08:07:54,31,CHARGING
