timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:43,34.8,3676,389404,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:45,34.8,3676,202942,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:46,34.8,3676,201721,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:47,34.8,3676,215454,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:48,34.8,3676,304260,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:49,34.8,3676,260009,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:50,34.8,3676,379944,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:51,34.8,3676,217895,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:52,34.8,3676,194702,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:53,34.8,3676,199279,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:54,34.8,3676,266113,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:55,34.7,3689,228576,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:56,34.7,3689,200195,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:58,34.7,3689,270996,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:48:59,34.7,3689,274658,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:00,34.7,3689,257263,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:01,34.7,3689,288086,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:02,34.7,3689,295105,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:03,34.7,3689,337219,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:04,34.7,3689,261841,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:05,34.7,3689,284118,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:06,34.7,3689,305176,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:07,34.7,3689,231323,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:08,34.7,3689,346069,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:09,34.7,3689,306091,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:11,34.7,3689,411682,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:12,34.7,3689,476379,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:13,34.7,3689,222778,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:14,34.7,3689,209045,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:15,34.7,3689,245666,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:16,34.7,3689,235290,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:17,34.7,3689,213623,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:18,34.7,3689,219116,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:19,34.7,3689,203552,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:20,34.7,3689,233764,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:21,34.7,3689,198059,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:22,34.7,3689,191040,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:23,34.7,3689,330810,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:25,34.7,3689,190124,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:26,34.7,3689,255127,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:27,34.7,3689,296936,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:28,34.7,3689,259399,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:29,34.7,3689,267944,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:30,34.7,3689,347900,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:31,34.7,3689,226440,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:32,34.7,3689,213928,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:33,34.7,3689,215149,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:34,34.7,3689,206604,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:35,34.7,3689,222473,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:36,34.7,3689,213623,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:38,34.7,3689,194397,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:39,34.7,3689,282287,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:40,34.7,3689,710449,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:41,34.7,3689,486145,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:42,34.7,3689,848389,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:43,34.7,3689,771179,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:44,34.7,3689,305176,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
2025-08-04 00:49:45,34.7,3689,412903,23,1920520,DISCHARGING,UNPLUGGED
timestamp,temperature,voltage,current,percentage,count,status,plugged
