timestamp,value,status
2025-08-22T00:02:38.026627,3823,DISCHARGING
2025-08-22T00:05:25.026970,3788,DISCHARGING
2025-08-22T00:07:51.614194,3847,DISCHARGING
2025-08-22T00:07:56.690734,3779,DISCHARGING
2025-08-22T00:13:00.722249,3852,DISCHARGING
2025-08-22T00:13:05.800089,3838,DISCHARGING
2025-08-22T00:15:22.514475,3848,DISCHARGING
2025-08-22T00:19:20.580415,3765,DISCHARGING
2025-08-22T00:24:33.430479,3824,DISCHARGING
2025-08-22T00:24:38.509015,3816,DISCHARGING
2025-08-22T00:25:20.060751,3821,DISCHARGING
2025-08-22T00:31:50.204153,3818,DISCHARGING
2025-08-22T00:35:22.793761,3831,DISCHARGING
2025-08-22T00:40:11.599205,3818,DISCHARGING
2025-08-22T00:45:20.565040,3811,DISCHARGING
2025-08-22T00:46:26.308641,3753,DISCHARGING
2025-08-22T00:46:31.349564,3750,DISCHARGING
2025-08-22T00:52:40.683059,3801,DISCHARGING
2025-08-22T00:52:50.796359,3776,DISCHARGING
2025-08-22T00:55:22.767844,3781,DISCHARGING
2025-08-22T01:00:01.383516,3775,DISCHARGING
2025-08-22T01:00:11.521682,3770,DISCHARGING
2025-08-22T01:05:20.550953,3805,DISCHARGING
2025-08-22T01:06:16.244808,3801,DISCHARGING
2025-08-22T01:13:31.851711,3796,DISCHARGING
2025-08-22T01:13:36.935609,3781,DISCHARGING
2025-08-22T01:15:23.308614,3796,DISCHARGING
2025-08-22T01:19:51.905294,3770,DISCHARGING
2025-08-22T01:19:56.989265,3757,DISCHARGING
2025-08-22T01:25:20.945528,3765,DISCHARGING
2025-08-22T01:27:07.336474,3748,DISCHARGING
2025-08-22T01:27:17.477492,3782,DISCHARGING
2025-08-22T01:34:28.122904,3760,DISCHARGING
2025-08-22T01:35:23.857090,3763,DISCHARGING
2025-08-22T01:39:37.085746,3764,DISCHARGING
2025-08-22T01:39:47.229330,3755,DISCHARGING
2025-08-22T01:45:22.258065,3766,DISCHARGING
2025-08-22T01:46:58.643003,3757,DISCHARGING
2025-08-22T01:47:03.721106,3744,DISCHARGING
2025-08-22T01:53:14.075321,3719,DISCHARGING
2025-08-22T01:55:20.851755,3757,DISCHARGING
2025-08-22T01:58:23.470704,3744,DISCHARGING
2025-08-22T01:58:33.635317,3742,DISCHARGING
2025-08-22T02:02:36.530088,3729,DISCHARGING
2025-08-22T02:05:23.901713,3706,DISCHARGING
2025-08-22T02:09:52.875196,3739,DISCHARGING
2025-08-22T02:09:57.977511,3730,DISCHARGING
2025-08-22T02:15:22.704970,3717,DISCHARGING
2025-08-22T02:16:08.376218,3740,DISCHARGING
2025-08-22T02:16:18.533726,3727,DISCHARGING
2025-08-22T02:22:24.007040,3735,DISCHARGING
2025-08-22T02:22:34.160328,3724,DISCHARGING
2025-08-22T02:25:21.591017,3732,DISCHARGING
2025-08-22T02:28:39.344492,3754,DISCHARGING
2025-08-22T02:28:44.433084,3773,DISCHARGING
2025-08-22T02:35:41.744474,3652,DISCHARGING
2025-08-22T02:40:12.071695,3718,DISCHARGING
2025-08-22T02:45:21.653722,3734,DISCHARGING
2025-08-22T02:47:28.456322,3730,DISCHARGING
2025-08-22T02:52:52.945156,3663,DISCHARGING
2025-08-22T02:53:43.849517,3754,DISCHARGING
2025-08-22T02:53:48.945742,3746,DISCHARGING
