timestamp,value,status
2025-08-31T00:15:17.421812,37,DISCHARGING
2025-08-31T00:30:57.777261,36,DISCHARGING
2025-08-31T00:39:20.846010,35,DISCHARGING
2025-08-31T00:48:44.825744,34,DISCHARGING
2025-08-31T00:59:09.974520,33,DISCHARGING
2025-08-31T01:02:13.976627,32,DISCHARGING
2025-08-31T01:05:16.085417,31,DISCHARGING
2025-08-31T01:10:34.926473,30,DISCHARGING
2025-08-31T01:16:50.627254,29,DISCHARGING
2025-08-31T01:28:17.074432,28,DISCHARGING
2025-08-31T01:41:45.709312,27,DISCHARGING
2025-08-31T01:54:24.289983,26,DISCHARGING
2025-08-31T02:01:45.650434,25,DISCHARGING
2025-08-31T02:15:14.075784,24,DISCHARGING
2025-08-31T02:25:41.838107,23,DISCHARGING
2025-08-31T02:38:19.525781,22,DISCHARGING
2025-08-31T02:51:47.957890,21,DISCHARGING
2025-08-31T03:03:14.459532,20,DISCHARGING
2025-08-31T03:16:53.014040,19,DISCHARGING
2025-08-31T03:31:22.469570,18,DISCHARGING
2025-08-31T03:47:03.577994,17,DISCHARGING
2025-08-31T04:00:42.333744,16,DISCHARGING
2025-08-31T04:15:11.782777,15,DISCHARGING
2025-08-31T04:19:30.453786,14,DISCHARGING
2025-08-31T04:24:34.783217,13,DISCHARGING
2025-08-31T04:32:58.053365,12,DISCHARGING
2025-08-31T04:44:24.135779,11,DISCHARGING
2025-08-31T05:03:13.149917,10,DISCHARGING
2025-08-31T05:20:54.147625,9,DISCHARGING
2025-08-31T05:37:40.374192,8,DISCHARGING
2025-08-31T05:43:30.982948,8,NOT_CHARGING
2025-08-31T05:43:36.122100,8,CHARGING
2025-08-31T05:43:51.326190,8,NOT_CHARGING
2025-08-31T05:43:56.388325,8,CHARGING
2025-08-31T05:45:12.549574,9,CHARGING
2025-08-31T05:47:04.342428,10,CHARGING
2025-08-31T05:49:06.352336,11,CHARGING
2025-08-31T05:50:58.245318,12,CHARGING
2025-08-31T05:52:50.225090,13,CHARGING
2025-08-31T05:54:42.153045,14,CHARGING
2025-08-31T05:56:03.551694,15,CHARGING
