timestamp,value,status
2025-08-16T03:45:45.667325,100,DISCHARGING
2025-08-16T03:47:52.521327,99,DISCHARGING
2025-08-16T03:55:09.269217,98,DISCHARGING
2025-08-16T03:59:28.014366,97,DISCHARGING
2025-08-16T04:06:39.681542,96,DISCHARGING
2025-08-16T04:13:56.574613,95,DISCHARGING
2025-08-16T04:21:18.861233,94,DISCHARGING
2025-08-16T04:28:35.780306,93,DISCHARGING
2025-08-16T05:11:17.187711,92,DISCHARGING
2025-08-16T06:12:25.686296,91,DISCHARGING
2025-08-16T06:29:38.046220,90,DISCHARGING
2025-08-16T06:48:13.837994,89,DISCHARGING
2025-08-16T06:53:33.986313,88,DISCHARGING
2025-08-16T06:56:36.108442,87,DISCHARGING
2025-08-16T07:01:55.520975,86,DISCHARGING
2025-08-16T07:08:00.911034,85,DISCHARGING
2025-08-16T07:11:18.199733,84,DISCHARGING
2025-08-16T07:14:20.212809,83,DISCHARGING
2025-08-16T07:18:28.458842,82,DISCHARGING
2025-08-16T07:21:40.498312,81,DISCHARGING
2025-08-16T07:25:48.298607,80,DISCHARGING
2025-08-16T07:30:01.461655,79,DISCHARGING
2025-08-16T07:34:09.314157,78,DISCHARGING
2025-08-16T07:40:29.912827,77,DISCHARGING
2025-08-16T07:46:36.143044,76,DISCHARGING
2025-08-16T07:49:48.970844,75,DISCHARGING
2025-08-16T07:53:57.535876,74,DISCHARGING
2025-08-16T07:57:10.154562,73,DISCHARGING
2025-08-16T08:00:17.747838,72,DISCHARGING
2025-08-16T08:04:20.923388,71,DISCHARGING
2025-08-16T08:07:33.680707,70,DISCHARGING
2025-08-16T08:11:41.698532,69,DISCHARGING
2025-08-16T08:14:54.103857,68,DISCHARGING
2025-08-16T08:18:02.153070,67,DISCHARGING
2025-08-16T08:21:04.282881,66,DISCHARGING
2025-08-16T08:25:22.771622,65,DISCHARGING
2025-08-16T08:28:25.188996,64,DISCHARGING
2025-08-16T08:34:45.990456,63,DISCHARGING
2025-08-16T08:36:47.364002,62,DISCHARGING
2025-08-16T08:40:50.437532,61,DISCHARGING
2025-08-16T08:44:07.967140,60,DISCHARGING
2025-08-16T08:47:10.458563,59,DISCHARGING
2025-08-16T08:51:29.030617,58,DISCHARGING
2025-08-16T08:54:31.443753,57,DISCHARGING
2025-08-16T08:58:40.099034,56,DISCHARGING
2025-08-16T09:02:54.018167,55,DISCHARGING
2025-08-16T09:15:21.136619,54,DISCHARGING
2025-08-16T09:21:42.280565,53,DISCHARGING
2025-08-16T09:24:44.462671,52,DISCHARGING
2025-08-16T09:36:10.524661,51,DISCHARGING
2025-08-16T09:46:45.806145,50,DISCHARGING
2025-08-16T10:00:14.004352,49,DISCHARGING
2025-08-16T10:16:55.642887,48,DISCHARGING
2025-08-16T10:31:30.153176,47,DISCHARGING
2025-08-16T10:33:42.135421,46,DISCHARGING
2025-08-16T11:02:51.440547,45,DISCHARGING
2025-08-16T11:18:32.188642,44,DISCHARGING
2025-08-16T11:36:19.482318,43,DISCHARGING
2025-08-16T11:57:10.586351,42,DISCHARGING
2025-08-16T12:15:57.681807,41,DISCHARGING
2025-08-16T12:32:39.215286,40,DISCHARGING
2025-08-16T12:42:03.577376,39,DISCHARGING
2025-08-16T12:53:39.968286,38,DISCHARGING
2025-08-16T13:09:10.507519,37,DISCHARGING
2025-08-16T13:22:37.891875,36,DISCHARGING
2025-08-16T13:34:03.508331,35,DISCHARGING
2025-08-16T13:47:42.090530,34,DISCHARGING
2025-08-16T14:00:09.472000,33,DISCHARGING
2025-08-16T14:13:53.189215,32,DISCHARGING
2025-08-16T14:22:12.967724,31,DISCHARGING
2025-08-16T14:33:39.676237,30,DISCHARGING
2025-08-16T14:43:04.703346,29,DISCHARGING
2025-08-16T14:45:02.583297,28,DISCHARGING
2025-08-16T14:59:47.272184,27,DISCHARGING
2025-08-16T15:00:48.098602,26,DISCHARGING
2025-08-16T15:02:49.642996,25,DISCHARGING
2025-08-16T15:04:51.319757,24,DISCHARGING
2025-08-16T15:06:57.881178,23,DISCHARGING
2025-08-16T15:22:39.313473,22,DISCHARGING
2025-08-16T15:23:40.005937,21,DISCHARGING
2025-08-16T15:25:51.618425,20,DISCHARGING
2025-08-16T15:28:59.287459,19,DISCHARGING
2025-08-16T15:31:01.409665,18,DISCHARGING
2025-08-16T15:44:40.388669,17,DISCHARGING
2025-08-16T15:56:13.064238,16,DISCHARGING
2025-08-16T16:05:27.682236,15,DISCHARGING
2025-08-16T16:07:29.341335,14,DISCHARGING
2025-08-16T16:21:08.204905,13,DISCHARGING
2025-08-16T16:32:35.007939,12,DISCHARGING
2025-08-16T16:45:02.909893,11,DISCHARGING
2025-08-16T16:54:28.096136,10,DISCHARGING
2025-08-16T17:03:52.134809,9,DISCHARGING
2025-08-16T17:10:08.480798,8,DISCHARGING
2025-08-16T17:11:20.351633,7,DISCHARGING
2025-08-16T17:25:28.939704,6,DISCHARGING
2025-08-16T17:26:29.823496,5,DISCHARGING
2025-08-16T17:42:05.226462,4,DISCHARGING
2025-08-16T17:52:28.933804,3,DISCHARGING
2025-08-16T17:53:29.780025,2,DISCHARGING
2025-08-16T17:56:22.259844,2,CHARGING
2025-08-16T17:57:02.904293,3,CHARGING
2025-08-16T17:57:43.577140,4,CHARGING
