timestamp,temperature,status
2025-08-14 00:00:59,37.9,CHARGING
2025-08-14 00:01:39,38.0,CHARGING
2025-08-14 00:03:40,37.9,CHARGING
2025-08-14 00:04:20,37.8,CHARGING
2025-08-14 00:05:51,37.7,CHARGING
2025-08-14 00:09:02,37.6,CHARGING
2025-08-14 00:16:35,37.9,DISCHARGING
2025-08-14 00:26:40,36.9,DISCHARGING
2025-08-14 00:36:34,36.6,DISCHARGING
2025-08-14 00:37:55,36.7,DISCHARGING
2025-08-14 00:55:32,36.6,DISCHARGING
2025-08-14 01:03:56,36.7,DISCHARGING
2025-08-14 01:21:44,36.4,DISCHARGING
2025-08-14 01:26:36,36.2,DISCHARGING
2025-08-14 01:29:57,36.1,DISCHARGING
2025-08-14 01:36:40,36.0,DISCHARGING
2025-08-14 01:46:34,36.8,DISCHARGING
2025-08-14 01:56:39,36.7,DISCHARGING
2025-08-14 02:03:22,36.8,DISCHARGING
2025-08-14 02:06:43,36.6,DISCHARGING
2025-08-14 02:12:46,36.4,DISCHARGING
2025-08-14 02:12:56,36.5,DISCHARGING
2025-08-14 02:16:38,36.3,DISCHARGING
2025-08-14 02:26:44,36.4,DISCHARGING
2025-08-14 02:31:36,36.6,DISCHARGING
2025-08-14 02:36:38,36.5,DISCHARGING
2025-08-14 02:46:43,36.3,DISCHARGING
2025-08-14 02:51:25,36.1,DISCHARGING
2025-08-14 02:56:37,36.0,DISCHARGING
2025-08-14 03:06:42,35.9,DISCHARGING
2025-08-14 03:21:38,36.0,DISCHARGING
2025-08-14 03:25:50,37.0,DISCHARGING
2025-08-14 03:32:04,37.5,DISCHARGING
2025-08-14 03:36:36,37.3,DISCHARGING
2025-08-14 03:40:27,37.0,DISCHARGING
2025-08-14 03:46:40,36.5,DISCHARGING
2025-08-14 03:49:51,36.3,DISCHARGING
2025-08-14 03:56:34,36.0,DISCHARGING
2025-08-14 03:59:16,35.9,DISCHARGING
2025-08-14 04:06:39,35.5,DISCHARGING
2025-08-14 04:16:44,35.3,DISCHARGING
2025-08-14 04:26:38,35.0,DISCHARGING
2025-08-14 04:36:43,34.8,DISCHARGING
2025-08-14 04:46:08,34.9,DISCHARGING
2025-08-14 04:54:31,34.8,DISCHARGING
2025-08-14 05:02:55,34.9,DISCHARGING
2025-08-14 05:16:42,34.8,DISCHARGING
2025-08-14 05:36:41,34.9,DISCHARGING
2025-08-14 05:37:21,35.0,DISCHARGING
2025-08-14 05:46:35,35.2,DISCHARGING
2025-08-14 05:56:09,35.1,DISCHARGING
2025-08-14 06:05:24,35.3,DISCHARGING
2025-08-14 06:05:34,35.2,DISCHARGING
2025-08-14 06:14:47,34.7,DISCHARGING
2025-08-14 06:20:07,33.9,DISCHARGING
2025-08-14 06:25:46,33.7,DISCHARGING
2025-08-14 06:27:26,33.6,DISCHARGING
2025-08-14 06:36:34,33.5,DISCHARGING
2025-08-14 06:41:15,33.4,DISCHARGING
2025-08-14 06:42:25,33.6,DISCHARGING
2025-08-14 06:42:46,33.8,DISCHARGING
2025-08-14 06:43:26,34.1,DISCHARGING
2025-08-14 06:45:02,34.0,DISCHARGING
2025-08-14 06:45:59,33.8,DISCHARGING
2025-08-14 06:46:41,33.6,DISCHARGING
2025-08-14 06:47:23,33.5,DISCHARGING
2025-08-14 06:48:27,33.4,DISCHARGING
2025-08-14 06:48:58,33.2,DISCHARGING
2025-08-14 06:51:46,32.9,DISCHARGING
2025-08-14 06:52:02,32.7,DISCHARGING
2025-08-14 06:53:33,32.6,DISCHARGING
2025-08-14 06:56:35,32.9,DISCHARGING
2025-08-14 07:01:47,33.7,DISCHARGING
2025-08-14 07:06:40,34.3,DISCHARGING
2025-08-14 07:12:08,34.2,DISCHARGING
2025-08-14 07:13:16,34.1,DISCHARGING
2025-08-14 07:13:58,33.9,DISCHARGING
2025-08-14 07:15:02,33.7,DISCHARGING
2025-08-14 07:16:14,33.6,DISCHARGING
2025-08-14 07:16:34,33.4,DISCHARGING
2025-08-14 07:18:08,33.1,DISCHARGING
2025-08-14 07:18:28,32.9,CHARGING
2025-08-14 07:18:39,32.5,CHARGING
2025-08-14 07:18:49,32.7,CHARGING
2025-08-14 07:18:59,33.1,CHARGING
2025-08-14 07:19:09,33.6,CHARGING
2025-08-14 07:19:29,34.1,CHARGING
2025-08-14 07:19:59,34.4,CHARGING
2025-08-14 07:20:09,34.5,CHARGING
2025-08-14 07:20:29,34.8,CHARGING
2025-08-14 07:20:50,34.9,CHARGING
2025-08-14 07:21:30,35.2,CHARGING
2025-08-14 07:21:50,35.3,CHARGING
2025-08-14 07:22:00,35.4,CHARGING
2025-08-14 07:22:30,35.6,CHARGING
2025-08-14 07:22:41,35.7,CHARGING
2025-08-14 07:22:51,35.8,CHARGING
2025-08-14 07:23:32,35.7,CHARGING
2025-08-14 07:23:42,35.8,CHARGING
2025-08-14 07:24:02,36.0,CHARGING
2025-08-14 07:24:42,36.1,CHARGING
2025-08-14 07:25:13,36.2,CHARGING
2025-08-14 07:25:43,36.3,CHARGING
2025-08-14 07:26:13,36.4,CHARGING
2025-08-14 07:26:43,36.5,CHARGING
2025-08-14 07:27:24,36.6,CHARGING
2025-08-14 07:27:44,36.7,CHARGING
2025-08-14 07:28:24,36.8,CHARGING
2025-08-14 07:28:44,36.9,CHARGING
2025-08-14 07:29:34,37.1,CHARGING
2025-08-14 07:30:35,37.3,CHARGING
2025-08-14 07:31:05,37.4,CHARGING
2025-08-14 07:31:35,37.5,CHARGING
2025-08-14 07:32:16,37.6,CHARGING
2025-08-14 07:32:36,38.1,DISCHARGING
2025-08-14 07:32:46,38.2,DISCHARGING
2025-08-14 07:33:06,37.8,DISCHARGING
2025-08-14 07:33:42,37.1,DISCHARGING
2025-08-14 07:34:23,36.7,DISCHARGING
2025-08-14 07:35:13,36.4,DISCHARGING
2025-08-14 07:36:09,36.2,DISCHARGING
2025-08-14 07:37:10,35.8,DISCHARGING
2025-08-14 07:37:54,35.7,DISCHARGING
2025-08-14 07:38:29,35.4,DISCHARGING
2025-08-14 07:39:04,35.3,DISCHARGING
2025-08-14 07:39:24,35.2,DISCHARGING
2025-08-14 07:40:04,35.3,DISCHARGING
2025-08-14 07:40:28,35.2,DISCHARGING
2025-08-14 07:40:38,35.1,DISCHARGING
2025-08-14 07:43:30,35.0,DISCHARGING
2025-08-14 07:44:45,34.4,DISCHARGING
2025-08-14 07:47:07,33.6,DISCHARGING
2025-08-14 07:47:26,33.5,DISCHARGING
2025-08-14 07:48:33,33.2,DISCHARGING
2025-08-14 07:50:06,33.1,DISCHARGING
2025-08-14 07:52:37,33.5,DISCHARGING
2025-08-14 07:54:18,34.0,DISCHARGING
2025-08-14 07:57:39,34.9,DISCHARGING
2025-08-14 07:57:51,34.8,DISCHARGING
2025-08-14 07:59:05,34.7,DISCHARGING
2025-08-14 08:00:25,34.8,DISCHARGING
2025-08-14 08:00:35,34.9,DISCHARGING
2025-08-14 08:01:16,35.2,DISCHARGING
2025-08-14 08:02:36,35.3,DISCHARGING
2025-08-14 08:03:26,35.7,DISCHARGING
2025-08-14 08:07:38,36.1,DISCHARGING
2025-08-14 08:07:48,36.2,DISCHARGING
2025-08-14 08:10:49,36.6,DISCHARGING
2025-08-14 08:10:59,36.5,DISCHARGING
2025-08-14 08:12:40,36.6,DISCHARGING
2025-08-14 08:15:01,37.0,DISCHARGING
2025-08-14 08:19:14,36.9,DISCHARGING
2025-08-14 08:22:15,37.2,DISCHARGING
2025-08-14 08:22:26,37.1,DISCHARGING
2025-08-14 08:22:36,37.2,DISCHARGING
2025-08-14 08:26:27,37.3,DISCHARGING
2025-08-14 08:29:49,37.2,DISCHARGING
2025-08-14 08:30:39,38.1,DISCHARGING
2025-08-14 08:31:39,39.1,DISCHARGING
2025-08-14 08:32:40,38.8,DISCHARGING
2025-08-14 08:33:16,38.3,DISCHARGING
2025-08-14 08:33:56,37.8,DISCHARGING
2025-08-14 08:34:14,37.7,DISCHARGING
2025-08-14 08:35:01,37.3,DISCHARGING
2025-08-14 08:35:42,37.0,DISCHARGING
2025-08-14 08:36:45,36.8,DISCHARGING
2025-08-14 08:37:28,36.7,DISCHARGING
2025-08-14 08:38:21,36.5,DISCHARGING
2025-08-14 08:38:57,36.4,DISCHARGING
2025-08-14 08:41:02,36.3,DISCHARGING
2025-08-14 08:42:25,35.8,DISCHARGING
2025-08-14 08:43:14,35.5,DISCHARGING
2025-08-14 08:44:11,35.2,DISCHARGING
2025-08-14 08:48:43,35.4,DISCHARGING
2025-08-14 08:48:53,35.5,DISCHARGING
2025-08-14 08:52:44,35.9,DISCHARGING
2025-08-14 08:52:54,36.0,DISCHARGING
2025-08-14 08:57:06,36.4,DISCHARGING
2025-08-14 09:00:18,36.5,DISCHARGING
2025-08-14 09:02:39,36.6,DISCHARGING
2025-08-14 09:04:19,37.1,DISCHARGING
2025-08-14 09:04:30,37.0,DISCHARGING
2025-08-14 09:07:31,37.3,DISCHARGING
2025-08-14 09:10:45,37.7,DISCHARGING
2025-08-14 09:11:04,37.5,DISCHARGING
2025-08-14 09:11:58,36.9,DISCHARGING
2025-08-14 09:12:38,36.7,DISCHARGING
2025-08-14 09:15:19,37.1,DISCHARGING
2025-08-14 09:22:42,36.8,DISCHARGING
2025-08-14 09:23:43,36.9,DISCHARGING
2025-08-14 09:25:58,37.0,DISCHARGING
2025-08-14 09:26:31,36.8,DISCHARGING
2025-08-14 09:28:49,37.2,DISCHARGING
2025-08-14 09:32:42,37.1,DISCHARGING
2025-08-14 09:37:14,36.8,DISCHARGING
2025-08-14 09:40:25,37.3,DISCHARGING
2025-08-14 09:40:35,37.4,DISCHARGING
2025-08-14 09:44:26,37.7,DISCHARGING
2025-08-14 09:46:38,38.0,DISCHARGING
2025-08-14 09:48:49,37.7,DISCHARGING
2025-08-14 09:51:51,37.0,DISCHARGING
2025-08-14 09:52:41,36.7,DISCHARGING
2025-08-14 09:54:52,36.8,DISCHARGING
2025-08-14 09:55:02,36.9,DISCHARGING
2025-08-14 09:57:04,37.1,DISCHARGING
2025-08-14 09:58:06,37.1,DISCHARGING
2025-08-14 09:58:28,37.1,DISCHARGING
2025-08-14 10:00:08,37.2,DISCHARGING
2025-08-14 10:00:18,37.3,DISCHARGING
2025-08-14 10:00:35,37.2,DISCHARGING
2025-08-14 10:01:47,37.1,DISCHARGING
2025-08-14 10:02:40,37.0,DISCHARGING
2025-08-14 10:03:11,36.9,DISCHARGING
2025-08-14 10:03:43,36.7,DISCHARGING
2025-08-14 10:04:14,36.6,DISCHARGING
2025-08-14 10:05:03,36.4,DISCHARGING
2025-08-14 10:06:09,35.9,DISCHARGING
2025-08-14 10:06:25,35.8,DISCHARGING
2025-08-14 10:06:49,35.7,DISCHARGING
2025-08-14 10:07:37,35.5,DISCHARGING
2025-08-14 10:08:10,35.3,DISCHARGING
2025-08-14 10:09:02,35.1,DISCHARGING
2025-08-14 10:09:33,35.0,DISCHARGING
2025-08-14 10:10:04,34.9,DISCHARGING
2025-08-14 10:12:45,35.1,DISCHARGING
